   TIME        H           H-          H+          H2+         H3+         He+         He          HeH+        C+          C         
     5.012E-009  3.078E-013  3.081E-022  2.290E-020  9.477E-019  4.385E-022  1.572E-019  8.500E-002  4.659E-024  2.068E-026  8.260E-016
     6.310E-009  3.874E-013  3.879E-022  2.884E-020  1.193E-018  6.949E-022  1.979E-019  8.500E-002  7.383E-024  3.277E-026  1.040E-015
     7.943E-009  4.878E-013  4.884E-022  3.630E-020  1.502E-018  1.101E-021  2.491E-019  8.500E-002  1.170E-023  5.193E-026  1.309E-015
     1.000E-008  6.140E-013  6.148E-022  4.570E-020  1.890E-018  1.745E-021  3.136E-019  8.500E-002  1.854E-023  8.231E-026  1.648E-015
     1.259E-008  7.730E-013  7.740E-022  5.753E-020  2.379E-018  2.765E-021  3.948E-019  8.500E-002  2.937E-023  1.305E-025  2.075E-015
     1.585E-008  9.732E-013  9.744E-022  7.243E-020  2.994E-018  4.382E-021  4.971E-019  8.500E-002  4.653E-023  2.067E-025  2.612E-015
     1.995E-008  1.225E-012  1.227E-021  9.119E-020  3.767E-018  6.943E-021  6.258E-019  8.500E-002  7.372E-023  3.277E-025  3.289E-015
     2.512E-008  1.542E-012  1.544E-021  1.148E-019  4.741E-018  1.100E-020  7.878E-019  8.500E-002  1.168E-022  5.193E-025  4.140E-015
     3.162E-008  1.942E-012  1.944E-021  1.445E-019  5.965E-018  1.743E-020  9.918E-019  8.500E-002  1.849E-022  8.231E-025  5.212E-015
     3.981E-008  2.444E-012  2.448E-021  1.819E-019  7.503E-018  2.761E-020  1.249E-018  8.500E-002  2.929E-022  1.304E-024  6.561E-015
     5.012E-008  3.077E-012  3.081E-021  2.290E-019  9.437E-018  4.372E-020  1.572E-018  8.500E-002  4.636E-022  2.067E-024  8.260E-015
     6.310E-008  3.874E-012  3.879E-021  2.884E-019  1.187E-017  6.924E-020  1.979E-018  8.500E-002  7.338E-022  3.277E-024  1.040E-014
     7.943E-008  4.876E-012  4.884E-021  3.630E-019  1.492E-017  1.096E-019  2.491E-018  8.500E-002  1.161E-021  5.193E-024  1.309E-014
     1.000E-007  6.139E-012  6.148E-021  4.570E-019  1.874E-017  1.735E-019  3.136E-018  8.500E-002  1.836E-021  8.230E-024  1.648E-014
     1.259E-007  7.728E-012  7.740E-021  5.753E-019  2.354E-017  2.746E-019  3.948E-018  8.500E-002  2.902E-021  1.304E-023  2.075E-014
     1.585E-007  9.727E-012  9.744E-021  7.243E-019  2.954E-017  4.343E-019  4.971E-018  8.500E-002  4.583E-021  2.067E-023  2.612E-014
     1.995E-007  1.224E-011  1.227E-020  9.118E-019  3.705E-017  6.866E-019  6.258E-018  8.500E-002  7.232E-021  3.276E-023  3.288E-014
     2.512E-007  1.541E-011  1.544E-020  1.148E-018  4.642E-017  1.085E-018  7.878E-018  8.500E-002  1.140E-020  5.193E-023  4.140E-014
     3.162E-007  1.940E-011  1.944E-020  1.445E-018  5.809E-017  1.712E-018  9.918E-018  8.500E-002  1.794E-020  8.230E-023  5.212E-014
     3.981E-007  2.442E-011  2.448E-020  1.819E-018  7.258E-017  2.701E-018  1.249E-017  8.500E-002  2.819E-020  1.304E-022  6.561E-014
     5.012E-007  3.073E-011  3.081E-020  2.290E-018  9.051E-017  4.253E-018  1.572E-017  8.500E-002  4.420E-020  2.067E-022  8.259E-014
     6.310E-007  3.867E-011  3.879E-020  2.884E-018  1.126E-016  6.688E-018  1.979E-017  8.500E-002  6.909E-020  3.276E-022  1.040E-013
     7.943E-007  4.866E-011  4.883E-020  3.630E-018  1.397E-016  1.050E-017  2.491E-017  8.500E-002  1.076E-019  5.191E-022  1.309E-013
     1.000E-006  6.122E-011  6.148E-020  4.570E-018  1.726E-016  1.643E-017  3.136E-017  8.500E-002  1.669E-019  8.227E-022  1.648E-013
     1.259E-006  7.700E-011  7.740E-020  5.753E-018  2.122E-016  2.564E-017  3.948E-017  8.500E-002  2.575E-019  1.304E-021  2.074E-013
     1.585E-006  9.684E-011  9.743E-020  7.243E-018  2.595E-016  3.986E-017  4.970E-017  8.500E-002  3.944E-019  2.066E-021  2.611E-013
     1.995E-006  1.218E-010  1.227E-019  9.118E-018  3.151E-016  6.168E-017  6.257E-017  8.500E-002  5.991E-019  3.273E-021  3.287E-013
     2.512E-006  1.530E-010  1.544E-019  1.148E-017  3.793E-016  9.489E-017  7.877E-017  8.500E-002  9.002E-019  5.187E-021  4.137E-013
     3.162E-006  1.923E-010  1.944E-019  1.445E-017  4.518E-016  1.450E-016  9.917E-017  8.500E-002  1.335E-018  8.217E-021  5.207E-013
     3.981E-006  2.415E-010  2.447E-019  1.819E-017  5.314E-016  2.196E-016  1.248E-016  8.500E-002  1.948E-018  1.302E-020  6.554E-013
     5.012E-006  3.030E-010  3.081E-019  2.290E-017  6.157E-016  3.293E-016  1.572E-016  8.500E-002  2.786E-018  2.062E-020  8.249E-013
     6.310E-006  3.800E-010  3.878E-019  2.883E-017  7.013E-016  4.880E-016  1.978E-016  8.500E-002  3.891E-018  3.266E-020  1.038E-012
     7.943E-006  4.759E-010  4.882E-019  3.630E-017  7.833E-016  7.134E-016  2.491E-016  8.500E-002  5.279E-018  5.172E-020  1.306E-012
     1.000E-005  5.954E-010  6.145E-019  4.570E-017  8.566E-016  1.027E-015  3.135E-016  8.500E-002  6.923E-018  8.188E-020  1.644E-012
     1.259E-005  7.437E-010  7.735E-019  5.753E-017  9.166E-016  1.454E-015  3.947E-016  8.500E-002  8.732E-018  1.296E-019  2.068E-012
     1.585E-005  9.270E-010  9.737E-019  7.242E-017  9.607E-016  2.024E-015  4.968E-016  8.500E-002  1.055E-017  2.051E-019  2.601E-012
     1.995E-005  1.153E-009  1.226E-018  9.117E-017  9.888E-016  2.769E-015  6.254E-016  8.500E-002  1.217E-017  3.243E-019  3.271E-012
     2.512E-005  1.429E-009  1.542E-018  1.148E-016  1.004E-015  3.728E-015  7.872E-016  8.500E-002  1.344E-017  5.126E-019  4.112E-012
     3.162E-005  1.764E-009  1.941E-018  1.445E-016  1.010E-015  4.947E-015  9.908E-016  8.500E-002  1.426E-017  8.097E-019  5.167E-012
     3.981E-005  2.168E-009  2.443E-018  1.819E-016  1.013E-015  6.487E-015  1.247E-015  8.500E-002  1.469E-017  1.278E-018  6.491E-012
     5.012E-005  2.648E-009  3.074E-018  2.289E-016  1.013E-015  8.427E-015  1.569E-015  8.500E-002  1.487E-017  2.015E-018  8.148E-012
     6.310E-005  3.212E-009  3.867E-018  2.882E-016  1.013E-015  1.087E-014  1.975E-015  8.500E-002  1.492E-017  3.172E-018  1.022E-011
     7.943E-005  3.862E-009  4.865E-018  3.627E-016  1.013E-015  1.393E-014  2.485E-015  8.500E-002  1.493E-017  4.985E-018  1.281E-011
     1.000E-004  4.596E-009  6.119E-018  4.565E-016  1.013E-015  1.779E-014  3.127E-015  8.500E-002  1.493E-017  7.818E-018  1.604E-011
     1.259E-004  5.404E-009  7.694E-018  5.745E-016  1.013E-015  2.263E-014  3.933E-015  8.500E-002  1.493E-017  1.223E-017  2.005E-011
     1.585E-004  6.266E-009  9.671E-018  7.231E-016  1.013E-015  2.871E-014  4.947E-015  8.500E-002  1.493E-017  1.906E-017  2.502E-011
     1.995E-004  7.153E-009  1.215E-017  9.099E-016  1.013E-015  3.633E-014  6.220E-015  8.500E-002  1.493E-017  2.960E-017  3.115E-011
     2.512E-004  8.030E-009  1.526E-017  1.145E-015  1.013E-015  4.587E-014  7.818E-015  8.500E-002  1.493E-017  4.572E-017  3.868E-011
     3.162E-004  8.860E-009  1.915E-017  1.440E-015  1.013E-015  5.782E-014  9.823E-015  8.500E-002  1.493E-017  7.018E-017  4.786E-011
     3.981E-004  9.620E-009  2.402E-017  1.811E-015  1.013E-015  7.275E-014  1.234E-014  8.500E-002  1.493E-017  1.069E-016  5.896E-011
     5.012E-004  1.031E-008  3.009E-017  2.278E-015  1.013E-015  9.137E-014  1.548E-014  8.500E-002  1.493E-017  1.614E-016  7.225E-011
     6.310E-004  1.094E-008  3.764E-017  2.864E-015  1.013E-015  1.145E-013  1.941E-014  8.500E-002  1.493E-017  2.408E-016  8.795E-011
     7.943E-004  1.157E-008  4.703E-017  3.598E-015  1.013E-015  1.432E-013  2.432E-014  8.500E-002  1.493E-017  3.547E-016  1.062E-010
     1.000E-003  1.227E-008  5.863E-017  4.520E-015  1.013E-015  1.787E-013  3.043E-014  8.500E-002  1.493E-017  5.143E-016  1.270E-010
     1.259E-003  1.312E-008  7.292E-017  5.673E-015  1.013E-015  2.223E-013  3.801E-014  8.500E-002  1.493E-017  7.325E-016  1.500E-010
     1.585E-003  1.420E-008  9.041E-017  7.116E-015  1.013E-015  2.756E-013  4.739E-014  8.500E-002  1.493E-017  1.023E-015  1.747E-010
     1.995E-003  1.560E-008  1.117E-016  8.916E-015  1.013E-015  3.402E-013  5.894E-014  8.500E-002  1.493E-017  1.398E-015  2.002E-010
     2.512E-003  1.741E-008  1.373E-016  1.116E-014  1.013E-015  4.177E-013  7.308E-014  8.500E-002  1.494E-017  1.869E-015  2.251E-010
     3.162E-003  1.976E-008  1.677E-016  1.394E-014  1.014E-015  5.096E-013  9.025E-014  8.500E-002  1.494E-017  2.445E-015  2.479E-010
     3.981E-003  2.278E-008  2.035E-016  1.737E-014  1.014E-015  6.169E-013  1.109E-013  8.500E-002  1.494E-017  3.134E-015  2.672E-010
     5.012E-003  2.667E-008  2.447E-016  2.160E-014  1.014E-015  7.398E-013  1.356E-013  8.500E-002  1.494E-017  3.941E-015  2.819E-010
     6.310E-003  3.166E-008  2.912E-016  2.675E-014  1.014E-015  8.771E-013  1.645E-013  8.500E-002  1.494E-017  4.875E-015  2.918E-010
     7.943E-003  3.806E-008  3.420E-016  3.297E-014  1.014E-015  1.026E-012  1.977E-013  8.500E-002  1.494E-017  5.939E-015  2.975E-010
     1.000E-002  4.626E-008  3.956E-016  4.039E-014  1.014E-015  1.181E-012  2.352E-013  8.500E-002  1.494E-017  7.130E-015  3.001E-010
     1.259E-002  5.672E-008  4.498E-016  4.908E-014  1.014E-015  1.335E-012  2.762E-013  8.500E-002  1.495E-017  8.428E-015  3.011E-010
     1.585E-002  7.004E-008  5.014E-016  5.903E-014  1.014E-015  1.478E-012  3.195E-013  8.500E-002  1.495E-017  9.795E-015  3.013E-010
     1.995E-002  8.698E-008  5.471E-016  7.008E-014  1.014E-015  1.603E-012  3.631E-013  8.500E-002  1.495E-017  1.117E-014  3.014E-010
     2.512E-002  1.085E-007  5.843E-016  8.183E-014  1.015E-015  1.701E-012  4.046E-013  8.500E-002  1.495E-017  1.249E-014  3.014E-010
     3.162E-002  1.358E-007  6.114E-016  9.369E-014  1.015E-015  1.769E-012  4.414E-013  8.500E-002  1.495E-017  1.365E-014  3.014E-010
     3.981E-002  1.704E-007  6.286E-016  1.048E-013  1.015E-015  1.809E-012  4.712E-013  8.500E-002  1.496E-017  1.459E-014  3.014E-010
     5.012E-002  2.143E-007  6.381E-016  1.143E-013  1.015E-015  1.830E-012  4.927E-013  8.500E-002  1.496E-017  1.527E-014  3.014E-010
     6.310E-002  2.698E-007  6.430E-016  1.216E-013  1.015E-015  1.838E-012  5.062E-013  8.500E-002  1.496E-017  1.570E-014  3.014E-010
     7.943E-002  3.401E-007  6.461E-016  1.263E-013  1.015E-015  1.840E-012  5.133E-013  8.500E-002  1.496E-017  1.592E-014  3.014E-010
     1.000E-001  4.288E-007  6.496E-016  1.288E-013  1.015E-015  1.840E-012  5.163E-013  8.500E-002  1.496E-017  1.601E-014  3.013E-010
     1.259E-001  5.409E-007  6.550E-016  1.298E-013  1.015E-015  1.840E-012  5.172E-013  8.500E-002  1.496E-017  1.604E-014  3.013E-010
     1.585E-001  6.822E-007  6.638E-016  1.301E-013  1.015E-015  1.840E-012  5.174E-013  8.500E-002  1.496E-017  1.605E-014  3.013E-010
     1.995E-001  8.602E-007  6.779E-016  1.301E-013  1.015E-015  1.839E-012  5.174E-013  8.500E-002  1.496E-017  1.605E-014  3.013E-010
     2.512E-001  1.085E-006  7.004E-016  1.301E-013  1.015E-015  1.838E-012  5.174E-013  8.500E-002  1.496E-017  1.605E-014  3.013E-010
     3.162E-001  1.367E-006  7.358E-016  1.301E-013  1.015E-015  1.838E-012  5.173E-013  8.500E-002  1.496E-017  1.604E-014  3.013E-010
     3.981E-001  1.724E-006  7.903E-016  1.300E-013  1.015E-015  1.837E-012  5.172E-013  8.500E-002  1.496E-017  1.604E-014  3.013E-010
     5.012E-001  2.173E-006  8.724E-016  1.300E-013  1.015E-015  1.835E-012  5.171E-013  8.500E-002  1.496E-017  1.603E-014  3.012E-010
     6.310E-001  2.741E-006  9.924E-016  1.299E-013  1.015E-015  1.834E-012  5.170E-013  8.500E-002  1.496E-017  1.603E-014  3.012E-010
     7.943E-001  3.458E-006  1.161E-015  1.298E-013  1.015E-015  1.833E-012  5.168E-013  8.500E-002  1.496E-017  1.602E-014  3.011E-010
     1.000E+000  4.364E-006  1.390E-015  1.297E-013  1.015E-015  1.831E-012  5.166E-013  8.500E-002  1.496E-017  1.601E-014  3.011E-010
     1.259E+000  5.508E-006  1.686E-015  1.295E-013  1.015E-015  1.829E-012  5.163E-013  8.500E-002  1.496E-017  1.599E-014  3.010E-010
     1.585E+000  6.950E-006  2.060E-015  1.293E-013  1.015E-015  1.826E-012  5.159E-013  8.500E-002  1.496E-017  1.598E-014  3.009E-010
     1.995E+000  8.766E-006  2.526E-015  1.290E-013  1.015E-015  1.824E-012  5.155E-013  8.500E-002  1.496E-017  1.595E-014  3.008E-010
     2.512E+000  1.105E-005  3.105E-015  1.286E-013  1.015E-015  1.820E-012  5.149E-013  8.500E-002  1.496E-017  1.593E-014  3.006E-010
     3.162E+000  1.390E-005  3.828E-015  1.282E-013  1.015E-015  1.816E-012  5.141E-013  8.500E-002  1.496E-017  1.589E-014  3.004E-010
     3.981E+000  1.747E-005  4.735E-015  1.277E-013  1.015E-015  1.812E-012  5.132E-013  8.500E-002  1.496E-017  1.585E-014  3.001E-010
     5.012E+000  2.192E-005  5.878E-015  1.270E-013  1.015E-015  1.806E-012  5.121E-013  8.500E-002  1.496E-017  1.579E-014  2.998E-010
